Fecha,Contagios por dia
12/01/2020,0
13/01/2020,1
14/01/2020,1
15/01/2020,0
16/01/2020,0
17/01/2020,0
18/01/2020,0
19/01/2020,0
20/01/2020,0
21/01/2020,0
22/01/2020,0
23/01/2020,0
24/01/2020,0
25/01/2020,0
26/01/2020,0
27/01/2020,0
28/01/2020,1
29/01/2020,1
30/01/2020,0
31/01/2020,0
01/02/2020,0
02/02/2020,0
03/02/2020,0
04/02/2020,0
05/02/2020,0
06/02/2020,0
07/02/2020,0
08/02/2020,0
09/02/2020,0
10/02/2020,0
11/02/2020,0
12/02/2020,1
13/02/2020,0
14/02/2020,0
15/02/2020,0
16/02/2020,0
17/02/2020,0
18/02/2020,0
19/02/2020,0
20/02/2020,0
21/02/2020,0
22/02/2020,0
23/02/2020,0
24/02/2020,0
25/02/2020,0
26/02/2020,0
27/02/2020,4
28/02/2020,2
29/02/2020,1
01/03/2020,0
02/03/2020,2
03/03/2020,0
04/03/2020,2
05/03/2020,1
06/03/2020,0
07/03/2020,1
08/03/2020,4
09/03/2020,1
10/03/2020,9
11/03/2020,27
12/03/2020,28
13/03/2020,60
14/03/2020,49
15/03/2020,36
16/03/2020,68
17/03/2020,91
18/03/2020,99
19/03/2020,107
20/03/2020,100
21/03/2020,66
22/03/2020,48
23/03/2020,130
24/03/2020,164
25/03/2020,141
26/03/2020,173
27/03/2020,211
28/03/2020,158
29/03/2020,142
30/03/2020,306
31/03/2020,277
01/04/2020,319
02/04/2020,300
03/04/2020,335
04/04/2020,218
05/04/2020,224
06/04/2020,535
07/04/2020,450
08/04/2020,514
09/04/2020,405
10/04/2020,487
11/04/2020,405
12/04/2020,428
13/04/2020,843
14/04/2020,840
15/04/2020,860
16/04/2020,882
17/04/2020,1014
18/04/2020,723
19/04/2020,665
20/04/2020,1346
21/04/2020,1308
22/04/2020,1242
23/04/2020,1328
24/04/2020,1507
25/04/2020,951
26/04/2020,930
27/04/2020,1686
28/04/2020,1685
29/04/2020,1678
30/04/2020,1683
01/05/2020,1282
02/05/2020,1293
03/05/2020,1162
04/05/2020,2369
05/05/2020,1928
06/05/2020,2121
07/05/2020,2237
08/05/2020,2256
09/05/2020,1410
10/05/2020,1285
11/05/2020,2731
12/05/2020,2688
13/05/2020,2926
14/05/2020,2823
15/05/2020,3197
16/05/2020,1947
17/05/2020,1489
18/05/2020,3635
19/05/2020,3194
20/05/2020,3488
21/05/2020,3502
22/05/2020,3544
23/05/2020,1948
24/05/2020,1687
25/05/2020,4208
26/05/2020,3928
27/05/2020,4129
28/05/2020,3898
29/05/2020,3948
30/05/2020,2488
31/05/2020,1870
01/06/2020,4797
02/06/2020,4268
03/06/2020,4502
04/06/2020,4340
05/06/2020,4355
06/06/2020,2460
07/06/2020,1917
08/06/2020,5070
09/06/2020,4505
10/06/2020,4238
11/06/2020,3607
12/06/2020,3224
13/06/2020,1313
14/06/2020,864
15/06/2020,1212
16/06/2020,195
17/06/2020,11
