date, value
27/02/2020,47.09
28/02/2020,44.76
02/03/2020,46.75
03/03/2020,47.18
04/03/2020,46.78
05/03/2020,45.9
06/03/2020,41.28
09/03/2020,31.13
10/03/2020,34.36
11/03/2020,32.98
12/03/2020,31.5
13/03/2020,31.73
16/03/2020,28.7
17/03/2020,27.026
18/03/2020,20.554
19/03/2020,25.634
20/03/2020,22.59
23/03/2020,23.36
24/03/2020,24.01
25/03/2020,24.49
26/03/2020,22.6
27/03/2020,21.51
30/03/2020,20.09
31/03/2020,20.48
01/04/2020,20.31
02/04/2020,25.32
03/04/2020,28.34
06/04/2020,26.08
07/04/2020,23.63
08/04/2020,25.09
09/04/2020,22.76
13/04/2020,22.41
14/04/2020,20.11
15/04/2020,19.87
16/04/2020,21.002
17/04/2020,20.974
21/04/2020,11.258
22/04/2020,13.78
23/04/2020,16.5
24/04/2020,16.94
27/04/2020,12.78
28/04/2020,12.34
29/04/2020,15.06
30/04/2020,18.84
01/05/2020,19.78
04/05/2020,20.39
05/05/2020,24.56
06/05/2020,23.99
07/05/2020,23.55
08/05/2020,24.74
11/05/2020,24.14
12/05/2020,25.78
13/05/2020,25.29
14/05/2020,27.624
15/05/2020,29.466
18/05/2020,31.718
19/05/2020,32.068
20/05/2020,33.49
21/05/2020,33.92
22/05/2020,33.25
26/05/2020,34.35
27/05/2020,32.81
28/05/2020,33.71
29/05/2020,35.49
01/06/2020,35.44
02/06/2020,36.81
03/06/2020,37.29
04/06/2020,37.41
05/06/2020,39.55
08/06/2020,38.19
09/06/2020,38.94
10/06/2020,39.6
11/06/2020,36.34
12/06/2020,36.26
15/06/2020,37.12
16/06/2020,38.38
17/06/2020,38.78802198
18/06/2020,37.5
19/06/2020,37.9
20/06/2020,37.2
21/06/2020,37.6
22/06/2020,37.3
23/06/2020,37.65
24/06/2020,39.55
25/06/2020,38.19
26/06/2020,38.94
27/06/2020,33.92
28/06/2020,33.25
29/06/2020,34.35
30/06/2020,32.81
01/07/2020,37.6
02/07/2020,37.3
03/07/2020,37.65
04/07/2020,39.55
05/07/2020,38.19
06/07/2020,38.94
07/07/2020,37.29
