date,price
27/02/2020,19.5074
28/02/2020,19.6169
29/02/2020,19.6169
02/03/2020,19.4086
03/03/2020,19.4582
04/03/2020,19.5242
05/03/2020,19.8576
06/03/2020,20.1119
07/03/2020,20.1159
09/03/2020,20.9498
10/03/2020,20.7902
11/03/2020,21.3667
12/03/2020,21.9676
13/03/2020,21.917
14/03/2020,21.917
16/03/2020,22.6363
17/03/2020,22.9681
18/03/2020,23.7825
19/03/2020,24.0831
20/03/2020,24.4232
21/03/2020,24.4232
23/03/2020,25.4471
24/03/2020,24.7575
25/03/2020,24.0131
26/03/2020,23.4001
27/03/2020,23.391
28/03/2020,23.391
30/03/2020,23.8492
31/03/2020,23.7871
01/04/2020,24.249
02/04/2020,24.2315
03/04/2020,24.993
04/04/2020,24.993
06/04/2020,24.624
07/04/2020,24.3656
08/04/2020,23.9887
09/04/2020,23.5857
10/04/2020,23.3525
11/04/2020,23.3525
13/04/2020,23.6067
14/04/2020,23.4016
15/04/2020,24.2845
16/04/2020,23.7574
17/04/2020,23.7369
18/04/2020,23.7369
20/04/2020,23.9994
21/04/2020,24.3965
22/04/2020,24.4852
23/04/2020,24.8064
24/04/2020,24.9876
25/04/2020,24.9876
27/04/2020,24.7381
28/04/2020,24.3165
29/04/2020,23.751
30/04/2020,24.2195
01/05/2020,24.6026
02/05/2020,24.6026
04/05/2020,24.1054
05/05/2020,23.9872
06/05/2020,24.4891
07/05/2020,24.0084
08/05/2020,23.6724
09/05/2020,23.6726
11/05/2020,23.8958
12/05/2020,24.3275
13/05/2020,24.2202
14/05/2020,23.8628
15/05/2020,23.9558
16/05/2020,23.9558
18/05/2020,23.7553
19/05/2020,23.6994
20/05/2020,23.2063
21/05/2020,22.8859
22/05/2020,22.7304
23/05/2020,22.7304
25/05/2020,22.5593
26/05/2020,22.2268
27/05/2020,22.3386
28/05/2020,22.2395
29/05/2020,22.1672
30/05/2020,22.1672
01/06/2020,22.0578
02/06/2020,21.7985
03/06/2020,21.7204
04/06/2020,21.8945
05/06/2020,21.5923
06/06/2020,21.5823
08/06/2020,21.4972
09/06/2020,21.9106
10/06/2020,21.8859
11/06/2020,22.8606
12/06/2020,22.2577
13/06/2020,22.2577
15/06/2020,22.1973
16/06/2020,22.3506
17/06/2020,22.3069
